0.667		0.002		0.663		0.007
0.6452		0.0019		0.650		0.007
0.6250		0.0018		0.625		0.007
0.6061		0.0018		0.600		0.007
0.5882		0.0017		0.588		0.007
0.5714		0.0016		0.575		0.007
0.5556		0.0016		0.563		0.007
0.5405		0.0015		0.538		0.007
0.5263		0.0015		0.525		0.007
0.5128		0.0014		0.513		0.007
0.5000		0.0014		0.500		0.007
0.4878		0.0014		0.488		0.007
0.4762		0.0013		0.475		0.007
0.4651		0.0013		0.463		0.007
0.4545		0.0012		0.450		0.007
0.4444		0.0012		0.438		0.007
0.4348		0.0012		0.438		0.007
0.4255		0.0012		0.425		0.007
0.4167		0.0011		0.413		0.007
0.4082		0.0011		0.400		0.007
0.4000		0.0011		0.400		0.007
0.3922		0.0011		0.388		0.007
0.3846		0.0010		0.375		0.007
0.3774		0.0010		0.375		0.007
0.3704		0.0010		0.363		0.007
0.3636		0.0010		0.363		0.007
0.3571		0.0009		0.350		0.007
0.3509		0.0009		0.350		0.007
0.3448		0.0009		0.338		0.007
0.3390		0.0009		0.338		0.007
0.3333		0.0009		0.325		0.007
0.3175		0.0008		0.313		0.007
0.3030		0.0008		0.300		0.007
0.2899		0.0008		0.288		0.007
0.2778		0.0007		0.275		0.006
0.2667		0.0007		0.263		0.006
0.2564		0.0007		0.250		0.006
0.2469		0.0006		0.238		0.006
0.2381		0.0006		0.238		0.006
0.2299		0.0006		0.225		0.006
0.2222		0.0006		0.213		0.006
0.2000		0.0005		0.200		0.006
0.1818		0.0005		0.175		0.006
0.1667		0.0004		0.163		0.006
0.1538		0.0004		0.150		0.006
0.1429		0.0004		0.138		0.006
0.1333		0.0003		0.125		0.006
0.1250		0.0003		0.125		0.006
0.1176		0.0003		0.113		0.006
0.1111		0.0003		0.100		0.006
0.1053		0.0003		0.100		0.006
